name,seed,region,rating,adj_o,adj_d,adj_o_rank,adj_d_rank,adj_t,luck,vegas_odds,womens_vegas_odds,kenpom_r64,kenpom_r32,kenpom_s16,kenpom_e8,kenpom_f4,kenpom_champ
Duke,1,EAST,38.9,128.0,89.1,4,2,65.3,0.049,300,7500,0.9910,0.8530,0.6900,0.5270,0.3330,0.2100
Siena,16,EAST,-2.1,107.1,109.2,210,175,64.6,0.005,200000,,0.0090,0.0009,0.0001,0.0000,0.0000,0.0000
Ohio St.,8,EAST,22.2,124.3,102.1,17,54,66.1,-0.031,25000,8000,0.6100,0.1030,0.0470,0.0190,0.0050,0.0010
TCU,9,EAST,17.6,115.4,97.8,81,22,67.7,0.004,40000,30000,0.3900,0.0430,0.0150,0.0050,0.0008,0.0001
St. John's,5,EAST,25.9,120.1,94.2,44,12,69.6,0.061,6000,,0.7960,0.4650,0.1270,0.0610,0.0210,0.0070
Northern Iowa,12,EAST,11.8,110.0,98.2,153,24,62.3,-0.07,150000,,0.2040,0.0580,0.0060,0.0010,0.0001,0.0000
Kansas,4,EAST,24.4,118.3,93.9,57,10,67.6,0.053,7500,,0.8660,0.4550,0.1140,0.0520,0.0160,0.0050
Cal Baptist,13,EAST,6.0,107.9,101.9,191,50,65.8,0.091,200000,,0.1340,0.0210,0.0010,0.0002,0.0000,0.0000
Louisville,6,EAST,25.4,124.1,98.6,19,25,69.6,-0.02,12000,5000,0.7230,0.3390,0.1720,0.0530,0.0170,0.0050
South Florida,11,EAST,16.4,117.3,100.9,61,40,71.5,-0.026,100000,,0.2770,0.0740,0.0220,0.0030,0.0005,0.0001
Michigan St.,3,EAST,28.3,123.0,94.7,24,13,66.0,0.005,4500,25000,0.9160,0.5750,0.3290,0.1200,0.0460,0.0180
North Dakota St.,14,EAST,5.1,111.7,106.6,124,124,66.3,0.04,200000,,0.0840,0.0120,0.0010,0.0001,0.0000,0.0000
UCLA,7,EAST,21.7,123.7,102.1,22,53,64.6,0.017,18000,550,0.6580,0.2510,0.1000,0.0250,0.0070,0.0020
UCF,10,EAST,15.0,120.5,105.4,40,101,69.2,0.097,40000,,0.3420,0.0840,0.0210,0.0030,0.0003,0.0000
UConn,2,EAST,27.9,122.0,94.1,30,11,64.4,0.055,3000,-270,0.9590,0.6610,0.3550,0.1310,0.0490,0.0190
Furman,15,EAST,-2.0,107.5,109.4,200,181,65.9,0.01,200000,,0.0410,0.0040,0.0002,0.0000,0.0000,0.0000
Arizona,1,WEST,37.7,127.7,90.0,5,3,69.8,0.023,400,,0.9960,0.8570,0.6880,0.4970,0.3210,0.1850
Long Island,16,WEST,-4.0,105.6,109.6,239,186,67.8,0.104,200000,,0.0040,0.0003,0.0000,0.0000,0.0000,0.0000
Villanova,8,WEST,20.0,120.4,100.4,41,35,65.2,0.067,25000,,0.4770,0.0680,0.0270,0.0080,0.0020,0.0005
Utah St.,9,WEST,20.8,122.1,101.4,28,45,67.7,0.065,40000,,0.5230,0.0750,0.0310,0.0100,0.0030,0.0006
Wisconsin,5,WEST,23.4,125.3,102.0,11,51,68.7,0.041,7500,,0.8330,0.3930,0.0920,0.0360,0.0120,0.0030
High Point,12,WEST,8.4,117.0,108.6,66,161,69.9,0.048,200000,,0.1670,0.0280,0.0020,0.0002,0.0000,0.0000
Arkansas,4,WEST,26.1,127.7,101.6,6,48,71.0,0.051,6000,,0.9070,0.5620,0.1590,0.0720,0.0270,0.0080
Hawaii,13,WEST,6.0,107.1,101.2,211,43,69.7,0.038,150000,,0.0930,0.0170,0.0007,0.0001,0.0000,0.0000
BYU,6,WEST,23.2,125.5,102.2,10,57,69.9,-0.017,25000,,0.6000,0.2380,0.0930,0.0250,0.0080,0.0020
Texas/NC State,11,WEST,19.3,124.6,105.3,16,100,67.9,-0.058,20000,700,0.2000,0.0625,0.0190,0.0040,0.0009,0.0002
Gonzaga,3,WEST,28.1,122.0,93.9,29,9,68.6,0.072,4000,,0.9630,0.6340,0.3160,0.1170,0.0490,0.0170
Kennesaw St.,14,WEST,0.6,110.6,110.1,143,194,71.2,0.009,200000,,0.0370,0.0030,0.0001,0.0000,0.0000,0.0000
Miami (FL),7,WEST,20.7,121.4,100.7,33,38,67.6,0.021,40000,,0.6270,0.1750,0.0660,0.0160,0.0040,0.0008
Missouri,10,WEST,15.4,119.5,104.1,50,78,66.2,0.041,50000,,0.3730,0.0730,0.0190,0.0030,0.0005,0.0000
Purdue,2,WEST,31.2,131.6,100.4,1,36,64.4,-0.006,2500,,0.9760,0.7490,0.4670,0.2080,0.1030,0.0430
Queens (N.C.),15,WEST,-1.4,115.8,117.2,77,322,69.6,0.067,200000,,0.0240,0.0030,0.0001,0.0000,0.0000,0.0000
Florida,1,SOUTH,33.8,125.5,91.7,9,6,70.5,-0.036,750,,0.9980,0.7790,0.5320,0.3010,0.1580,0.0750
Prairie View A&M/Lehigh,16,SOUTH,-10.5,102.0,112.6,299,246,68.7,0.05,200000,,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000
Clemson,8,SOUTH,19.2,116.5,97.3,71,20,64.2,0.011,25000,20000,0.4300,0.0810,0.0280,0.0070,0.0020,0.0003
Iowa,9,SOUTH,22.4,121.7,99.3,31,30,63.0,-0.061,30000,2000,0.5700,0.1400,0.0580,0.0180,0.0050,0.0008
Vanderbilt,5,SOUTH,27.5,126.8,99.3,7,31,68.8,0.018,7500,5000,0.8230,0.4630,0.1900,0.0800,0.0300,0.0100
McNeese,12,SOUTH,12.5,114.3,101.8,91,49,66.2,0.084,100000,,0.1770,0.0440,0.0060,0.0008,0.0001,0.0000
Nebraska,4,SOUTH,26.2,118.5,92.4,55,7,66.7,0.034,10000,,0.9270,0.4870,0.1860,0.0720,0.0250,0.0080
Troy,13,SOUTH,1.7,110.7,109.0,141,166,64.9,0.024,150000,,0.0730,0.0070,0.0004,0.0000,0.0000,0.0000
North Carolina,6,SOUTH,20.8,121.4,100.5,32,37,67.9,0.057,25000,8000,0.5890,0.1570,0.0470,0.0140,0.0040,0.0007
VCU,11,SOUTH,17.2,119.9,102.7,46,60,68.5,-0.007,50000,,0.4110,0.0840,0.0190,0.0040,0.0009,0.0001
Illinois,3,SOUTH,32.1,131.2,99.1,2,28,65.5,-0.05,1900,10000,0.9700,0.7550,0.4080,0.2230,0.1070,0.0460
Penn,14,SOUTH,1.5,107.4,105.9,204,111,69.0,0.068,100000,,0.0300,0.0040,0.0002,0.0000,0.0000,0.0000
Saint Mary's,7,SOUTH,23.1,120.3,97.2,43,19,65.2,0.011,30000,,0.6040,0.1790,0.0660,0.0220,0.0070,0.0020
Texas A&M,10,SOUTH,18.7,119.7,101.0,49,41,70.5,-0.002,35000,,0.3960,0.0820,0.0230,0.0060,0.0010,0.0002
Houston,2,SOUTH,33.4,124.9,91.4,14,5,63.3,-0.006,1000,,0.9690,0.7350,0.4360,0.2510,0.1290,0.0610
Idaho,15,SOUTH,1.5,108.8,107.3,176,136,67.7,-0.012,200000,,0.0310,0.0040,0.0002,0.0000,0.0000,0.0000
Michigan,1,MIDWEST,37.6,126.6,89.0,8,1,70.9,0.045,360,8000,0.9950,0.8820,0.7090,0.5020,0.3040,0.1840
UMBC/Howard,16,MIDWEST,-2.4,105.9,108.3,228,158,67.5,0.021,150000,,0.0025,0.0002,0.0000,0.0000,0.0000,0.0000
Georgia,8,MIDWEST,20.5,124.7,104.2,16,80,71.4,-0.005,50000,20000,0.5600,0.0720,0.0290,0.0090,0.0020,0.0003
Saint Louis,9,MIDWEST,18.3,119.5,101.2,51,42,71.0,0.03,40000,,0.4400,0.0450,0.0160,0.0040,0.0009,0.0002
Texas Tech,5,MIDWEST,25.2,125.0,99.8,12,33,66.2,0.006,13000,,0.7820,0.4200,0.1120,0.0470,0.0160,0.0050
Akron,12,MIDWEST,12.8,118.8,106.0,54,113,70.3,0.018,100000,,0.2180,0.0540,0.0040,0.0007,0.0001,0.0000
Alabama,4,MIDWEST,25.7,129.0,103.3,3,67,73.1,0.019,18000,15000,0.8490,0.4910,0.1270,0.0550,0.0180,0.0060
Hofstra,13,MIDWEST,9.5,114.6,105.1,89,95,64.7,-0.052,200000,,0.1510,0.0350,0.0020,0.0004,0.0001,0.0000
Tennessee,6,MIDWEST,26.0,121.1,95.0,37,15,65.0,-0.06,12000,3300,0.7310,0.3760,0.1580,0.0510,0.0180,0.0060
Miami (Ohio)/SMU,11,MIDWEST,15.4,120.1,104.7,58,107,67.8,0.056,35000,,0.1340,0.0425,0.0103,0.0020,0.0004,0.0001
Virginia,3,MIDWEST,26.7,122.5,95.8,27,16,65.7,0.056,7500,,0.9310,0.5310,0.2320,0.0780,0.0270,0.0100
Wright St.,14,MIDWEST,2.0,112.1,110.0,117,193,67.2,0.009,200000,,0.0690,0.0070,0.0004,0.0001,0.0000,0.0000
Kentucky,7,MIDWEST,21.5,120.5,99.0,39,27,68.3,-0.019,20000,5000,0.5550,0.1460,0.0600,0.0130,0.0030,0.0008
Santa Clara,10,MIDWEST,19.4,123.6,104.2,23,82,69.2,0.015,50000,,0.4450,0.1000,0.0350,0.0070,0.0020,0.0003
Iowa St.,2,MIDWEST,32.4,123.8,91.4,21,4,66.5,-0.012,1500,,0.9840,0.7530,0.4940,0.2290,0.1120,0.0540
Tennessee St.,15,MIDWEST,-1.8,109.1,110.9,173,212,70.2,0.07,200000,,0.0160,0.0010,0.0001,0.0000,0.0000,0.0000
